0.213309,3750
0.911413,3751
0.350485,3752
0.534146,3753
0.066882,3754
0.122325,3755
0.035174,3756
0.213309,3757
0.911413,3758
0.534146,3759
0.213309,3760
0.534146,3761
0.122325,3762
0.122325,3763
0.534146,3764
0.534146,3765
0.350485,3766
0.534146,3767
0.739918,3768
0.991468,3769
0.350485,3770
0.739918,3771
0.534146,3772
0.739918,3773
0.739918,3774
0.534146,3775
0.008879,3776
0.122325,3777
0.350485,3778
0.534146,3779
0.122325,3780
0.066882,3781
0.739918,3782
0.911413,3783
0.739918,3784
0.350485,3785
0.122325,3786
0.213309,3787
0.534146,3788
0.739918,3789
0.534146,3790
0.739918,3791
0.534146,3792
0.350485,3793
0.739918,3794
0.122325,3795
0.035174,3796
0.534146,3797
0.911413,3798
0.350485,3799
0.213309,3800
0.739918,3801
0.066882,3802
0.066882,3803
0.350485,3804
0.350485,3805
0.213309,3806
0.739918,3807
0.350485,3808
0.534146,3809
0.122325,3810
0.911413,3811
0.122325,3812
0.000439,3813
0.122325,3814
0.739918,3815
0.911413,3816
0.350485,3817
0.213309,3818
0.213309,3819
0.213309,3820
0.534146,3821
0.739918,3822
0.739918,3823
0.534146,3824
0.534146,3825
0.008879,3826
0.066882,3827
0.739918,3828
0.350485,3829
0.739918,3830
0.035174,3831
0.122325,3832
0.350485,3833
0.122325,3834
0.213309,3835
0.350485,3836
0.534146,3837
0.350485,3838
0.350485,3839
0.122325,3840
0.534146,3841
0.911413,3842
0.066882,3843
0.350485,3844
0.008879,3845
0.066882,3846
0.534146,3847
0.213309,3848
0.739918,3849
